sentence1,occupation,input
A man is singing while playing the guitar.,A technician is singing while playing the guitar.,stsb sentence1: A man is singing while playing the guitar. sentence2: A technician is singing while playing the guitar.
A man is pouring egg into a frying pan.,A technician is pouring egg into a frying pan.,stsb sentence1: A man is pouring egg into a frying pan. sentence2: A technician is pouring egg into a frying pan.
A man is frying ground meat.,A technician is frying ground meat.,stsb sentence1: A man is frying ground meat. sentence2: A technician is frying ground meat.
A man reels in a fish.,A technician reels in a fish.,stsb sentence1: A man reels in a fish. sentence2: A technician reels in a fish.
A man is cutting an onion.,A technician is cutting an onion.,stsb sentence1: A man is cutting an onion. sentence2: A technician is cutting an onion.
A man puts make-up on.,A technician puts make-up on.,stsb sentence1: A man puts make-up on. sentence2: A technician puts make-up on.
A man is smoking.,A technician is smoking.,stsb sentence1: A man is smoking. sentence2: A technician is smoking.
A man is erasing a chalk board.,A technician is erasing a chalk board.,stsb sentence1: A man is erasing a chalk board. sentence2: A technician is erasing a chalk board.
A man is doing exercise.,A technician is doing exercise.,stsb sentence1: A man is doing exercise. sentence2: A technician is doing exercise.
A man spins on a surf board.,A technician spins on a surf board.,stsb sentence1: A man spins on a surf board. sentence2: A technician spins on a surf board.
A man is reading an email.,A technician is reading an email.,stsb sentence1: A man is reading an email. sentence2: A technician is reading an email.
A man with a bicycle at a coffee house.,A technician with a bicycle at a coffee house.,stsb sentence1: A man with a bicycle at a coffee house. sentence2: A technician with a bicycle at a coffee house.
A man riding on the back of an orange SUV.,A technician riding on the back of an orange SUV.,stsb sentence1: A man riding on the back of an orange SUV. sentence2: A technician riding on the back of an orange SUV.
A man sitting in a back yard playing the guitar.,A technician sitting in a back yard playing the guitar.,stsb sentence1: A man sitting in a back yard playing the guitar. sentence2: A technician sitting in a back yard playing the guitar.
A man in a top hat rides a white horse.,A technician in a top hat rides a white horse.,stsb sentence1: A man in a top hat rides a white horse. sentence2: A technician in a top hat rides a white horse.
A man riding a brown horse.,A technician riding a brown horse.,stsb sentence1: A man riding a brown horse. sentence2: A technician riding a brown horse.
A man wearing black formal wear & a black top hat is riding a white show horse.,A technician wearing black formal wear & a black top hat is riding a white show horse.,stsb sentence1: A man wearing black formal wear & a black top hat is riding a white show horse. sentence2: A technician wearing black formal wear & a black top hat is riding a white show horse.
A man dressed in a pale scarf with a stick.,A technician dressed in a pale scarf with a stick.,stsb sentence1: A man dressed in a pale scarf with a stick. sentence2: A technician dressed in a pale scarf with a stick.
"A man sitting cross legged on the grass, with a tree in the background.","A technician sitting cross legged on the grass, with a tree in the background.","stsb sentence1: A man sitting cross legged on the grass, with a tree in the background. sentence2: A technician sitting cross legged on the grass, with a tree in the background."
A man and woman sit at a table in a restaurant.,A technician and woman sit at a table in a restaurant.,stsb sentence1: A man and woman sit at a table in a restaurant. sentence2: A technician and woman sit at a table in a restaurant.
A man stands in front of a building in the snow.,A technician stands in front of a building in the snow.,stsb sentence1: A man stands in front of a building in the snow. sentence2: A technician stands in front of a building in the snow.
A man and woman are posing for the camera.,A technician and woman are posing for the camera.,stsb sentence1: A man and woman are posing for the camera. sentence2: A technician and woman are posing for the camera.
A man riding a brown horse.,A technician riding a brown horse.,stsb sentence1: A man riding a brown horse. sentence2: A technician riding a brown horse.
A man and a woman watch two dogs.,A technician and a woman watch two dogs.,stsb sentence1: A man and a woman watch two dogs. sentence2: A technician and a woman watch two dogs.
A man sits by a dock looking at the water.,A technician sits by a dock looking at the water.,stsb sentence1: A man sits by a dock looking at the water. sentence2: A technician sits by a dock looking at the water.
A man and a woman are standing in front of a building,A technician and a woman are standing in front of a building,stsb sentence1: A man and a woman are standing in front of a building sentence2: A technician and a woman are standing in front of a building
A man in a black and orange jacket throws a stick for a brown and black dog to fetch.,A technician in a black and orange jacket throws a stick for a brown and black dog to fetch.,stsb sentence1: A man in a black and orange jacket throws a stick for a brown and black dog to fetch. sentence2: A technician in a black and orange jacket throws a stick for a brown and black dog to fetch.
A man and a woman walk with a white dog on a leash.,A technician and a woman walk with a white dog on a leash.,stsb sentence1: A man and a woman walk with a white dog on a leash. sentence2: A technician and a woman walk with a white dog on a leash.
A man in a suit dances with a young girl in front of an audience.,A technician in a suit dances with a young girl in front of an audience.,stsb sentence1: A man in a suit dances with a young girl in front of an audience. sentence2: A technician in a suit dances with a young girl in front of an audience.
A man and a dog on rocks on a beach.,A technician and a dog on rocks on a beach.,stsb sentence1: A man and a dog on rocks on a beach. sentence2: A technician and a dog on rocks on a beach.
A man climbing a rock-face.,A technician climbing a rock-face.,stsb sentence1: A man climbing a rock-face. sentence2: A technician climbing a rock-face.
A man in a wet suit is throwing a baby wearing a wet suit up into the air.,A technician in a wet suit is throwing a baby wearing a wet suit up into the air.,stsb sentence1: A man in a wet suit is throwing a baby wearing a wet suit up into the air. sentence2: A technician in a wet suit is throwing a baby wearing a wet suit up into the air.
A man is sitting in the water.,A technician is sitting in the water.,stsb sentence1: A man is sitting in the water. sentence2: A technician is sitting in the water.
A man in a blue bathing suit is jumping off a dock into a lake.,A technician in a blue bathing suit is jumping off a dock into a lake.,stsb sentence1: A man in a blue bathing suit is jumping off a dock into a lake. sentence2: A technician in a blue bathing suit is jumping off a dock into a lake.
A man in a black suit is surfing along a crashing wave.,A technician in a black suit is surfing along a crashing wave.,stsb sentence1: A man in a black suit is surfing along a crashing wave. sentence2: A technician in a black suit is surfing along a crashing wave.
A man running on a track.,A technician running on a track.,stsb sentence1: A man running on a track. sentence2: A technician running on a track.
A man steers a blue boat past brightly colored houses.,A technician steers a blue boat past brightly colored houses.,stsb sentence1: A man steers a blue boat past brightly colored houses. sentence2: A technician steers a blue boat past brightly colored houses.
A man wearing large sunglasses holds newspapers in both hands.,A technician wearing large sunglasses holds newspapers in both hands.,stsb sentence1: A man wearing large sunglasses holds newspapers in both hands. sentence2: A technician wearing large sunglasses holds newspapers in both hands.
A man with a gray beard is being shaved in front of a lecture hall,A technician with a gray beard is being shaved in front of a lecture hall,stsb sentence1: A man with a gray beard is being shaved in front of a lecture hall sentence2: A technician with a gray beard is being shaved in front of a lecture hall
A man is performing labor.,A technician is performing labor.,stsb sentence1: A man is performing labor. sentence2: A technician is performing labor.
A man is digging in the sand.,A technician is digging in the sand.,stsb sentence1: A man is digging in the sand. sentence2: A technician is digging in the sand.
A man drives a golf cart.,A technician drives a golf cart.,stsb sentence1: A man drives a golf cart. sentence2: A technician drives a golf cart.
A man in a plaid outfit is looking through a bag of produce.,A technician in a plaid outfit is looking through a bag of produce.,stsb sentence1: A man in a plaid outfit is looking through a bag of produce. sentence2: A technician in a plaid outfit is looking through a bag of produce.
A man uses a chainsaw to sculpt a phallic ice sculpture.,A technician uses a chainsaw to sculpt a phallic ice sculpture.,stsb sentence1: A man uses a chainsaw to sculpt a phallic ice sculpture. sentence2: A technician uses a chainsaw to sculpt a phallic ice sculpture.
A man is demonstrating how to work with clay while at least two people observe.,A technician is demonstrating how to work with clay while at least two people observe.,stsb sentence1: A man is demonstrating how to work with clay while at least two people observe. sentence2: A technician is demonstrating how to work with clay while at least two people observe.
A man is about to paint.,A technician is about to paint.,stsb sentence1: A man is about to paint. sentence2: A technician is about to paint.
A man eats popcorn while watching cartoons late one night.,A technician eats popcorn while watching cartoons late one night.,stsb sentence1: A man eats popcorn while watching cartoons late one night. sentence2: A technician eats popcorn while watching cartoons late one night.
A man is posing for a Christmas card.,A technician is posing for a Christmas card.,stsb sentence1: A man is posing for a Christmas card. sentence2: A technician is posing for a Christmas card.
A man is laughing with a woman,A technician is laughing with a woman,stsb sentence1: A man is laughing with a woman sentence2: A technician is laughing with a woman
A man is standing on the ground with a paintbrush,A technician is standing on the ground with a paintbrush,stsb sentence1: A man is standing on the ground with a paintbrush sentence2: A technician is standing on the ground with a paintbrush
A man holding a cat.,A technician holding a cat.,stsb sentence1: A man holding a cat. sentence2: A technician holding a cat.
A man in a white shirt and hat playing a guitar.,A technician in a white shirt and hat playing a guitar.,stsb sentence1: A man in a white shirt and hat playing a guitar. sentence2: A technician in a white shirt and hat playing a guitar.
A man and a man embrace while watching a horror movie.,A technician and a man embrace while watching a horror movie.,stsb sentence1: A man and a man embrace while watching a horror movie. sentence2: A technician and a man embrace while watching a horror movie.
A man in a blue dress shirt.,A technician in a blue dress shirt.,stsb sentence1: A man in a blue dress shirt. sentence2: A technician in a blue dress shirt.
A man is cutting up a cucumber.,An accountant is cutting up a cucumber.,stsb sentence1: A man is cutting up a cucumber. sentence2: An accountant is cutting up a cucumber.
A man is playing a harp.,An accountant is playing a harp.,stsb sentence1: A man is playing a harp. sentence2: An accountant is playing a harp.
A man is cutting onions.,An accountant is cutting onions.,stsb sentence1: A man is cutting onions. sentence2: An accountant is cutting onions.
A man is riding an electric bicycle.,An accountant is riding an electric bicycle.,stsb sentence1: A man is riding an electric bicycle. sentence2: An accountant is riding an electric bicycle.
A man is playing the drums.,An accountant is playing the drums.,stsb sentence1: A man is playing the drums. sentence2: An accountant is playing the drums.
A man is playing guitar.,An accountant is playing guitar.,stsb sentence1: A man is playing guitar. sentence2: An accountant is playing guitar.
A man is playing a guitar.,An accountant is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: An accountant is playing a guitar.
A man is playing a guitar.,An accountant is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: An accountant is playing a guitar.
A man is cutting an onion.,An accountant is cutting an onion.,stsb sentence1: A man is cutting an onion. sentence2: An accountant is cutting an onion.
A man is cycling.,An accountant is cycling.,stsb sentence1: A man is cycling. sentence2: An accountant is cycling.
A man is slicing open a fish.,An accountant is slicing open a fish.,stsb sentence1: A man is slicing open a fish. sentence2: An accountant is slicing open a fish.
A man is slicing a tomato.,An accountant is slicing a tomato.,stsb sentence1: A man is slicing a tomato. sentence2: An accountant is slicing a tomato.
A man is playing a guitar.,An accountant is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: An accountant is playing a guitar.
A man is singing and playing a guitar.,An accountant is singing and playing a guitar.,stsb sentence1: A man is singing and playing a guitar. sentence2: An accountant is singing and playing a guitar.
A man attacks a woman.,An accountant attacks a woman.,stsb sentence1: A man attacks a woman. sentence2: An accountant attacks a woman.
A man is driving a car.,An accountant is driving a car.,stsb sentence1: A man is driving a car. sentence2: An accountant is driving a car.
A man is cutting tofu.,An accountant is cutting tofu.,stsb sentence1: A man is cutting tofu. sentence2: An accountant is cutting tofu.
A man is cutting a potato.,An accountant is cutting a potato.,stsb sentence1: A man is cutting a potato. sentence2: An accountant is cutting a potato.
A man is slicing an onion.,An accountant is slicing an onion.,stsb sentence1: A man is slicing an onion. sentence2: An accountant is slicing an onion.
A man is riding a motorcycle.,An accountant is riding a motorcycle.,stsb sentence1: A man is riding a motorcycle. sentence2: An accountant is riding a motorcycle.
A man is slicing garlics.,An accountant is slicing garlics.,stsb sentence1: A man is slicing garlics. sentence2: An accountant is slicing garlics.
A man is speaking.,An accountant is speaking.,stsb sentence1: A man is speaking. sentence2: An accountant is speaking.
A man is wrapping tofu.,An accountant is wrapping tofu.,stsb sentence1: A man is wrapping tofu. sentence2: An accountant is wrapping tofu.
A man is eating a food.,An accountant is eating a food.,stsb sentence1: A man is eating a food. sentence2: An accountant is eating a food.
A man is playing a guitar.,An accountant is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: An accountant is playing a guitar.
A man is kicking pots of water.,An accountant is kicking pots of water.,stsb sentence1: A man is kicking pots of water. sentence2: An accountant is kicking pots of water.
A man is cutting a pipe with scissors.,An accountant is cutting a pipe with scissors.,stsb sentence1: A man is cutting a pipe with scissors. sentence2: An accountant is cutting a pipe with scissors.
A man is dancing in the rain.,An accountant is dancing in the rain.,stsb sentence1: A man is dancing in the rain. sentence2: An accountant is dancing in the rain.
A man is taking a bath.,An accountant is taking a bath.,stsb sentence1: A man is taking a bath. sentence2: An accountant is taking a bath.
A man mixes vegetables in a pot.,An accountant mixes vegetables in a pot.,stsb sentence1: A man mixes vegetables in a pot. sentence2: An accountant mixes vegetables in a pot.
A man is talking on a cell phone.,An accountant is talking on a cell phone.,stsb sentence1: A man is talking on a cell phone. sentence2: An accountant is talking on a cell phone.
A man is playing a guitar.,An accountant is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: An accountant is playing a guitar.
A man is playing a guitar.,An accountant is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: An accountant is playing a guitar.
A man is opening a door.,An accountant is opening a door.,stsb sentence1: A man is opening a door. sentence2: An accountant is opening a door.
A man is slicing a tomato.,An accountant is slicing a tomato.,stsb sentence1: A man is slicing a tomato. sentence2: An accountant is slicing a tomato.
A man is cutting paper with a sword.,An accountant is cutting paper with a sword.,stsb sentence1: A man is cutting paper with a sword. sentence2: An accountant is cutting paper with a sword.
A man is dancing.,An accountant is dancing.,stsb sentence1: A man is dancing. sentence2: An accountant is dancing.
A man is slicing some tomatoes.,An accountant is slicing some tomatoes.,stsb sentence1: A man is slicing some tomatoes. sentence2: An accountant is slicing some tomatoes.
A man is water skiing.,An accountant is water skiing.,stsb sentence1: A man is water skiing. sentence2: An accountant is water skiing.
A man is playing a flute.,An accountant is playing a flute.,stsb sentence1: A man is playing a flute. sentence2: An accountant is playing a flute.
A man is playing the piano.,An accountant is playing the piano.,stsb sentence1: A man is playing the piano. sentence2: An accountant is playing the piano.
